Variant,desorbtion_per_FW_shoot,desorbtion_per_DW_shoot,desorbtion_per_DWCW_shoot
10 mkM,0.7406859768685607,7.26749464454138,NA
10 mkM,0.6055767689405038,5.941824285293271,NA
10 mkM,0.6447300771208226,6.325990404813365,NA
50 mkM,3.788479669439983,37.17196837587062,NA
50 mkM,3.3054534222985694,32.432590591084924,NA
50 mkM,3.0837250773836624,30.25702684405038,NA
100 mkM,5.7422972258620835,56.34251982567659,NA
100 mkM,5.9141453419879175,58.02866659046224,NA
100 mkM,6.629706098641093,65.04963651459484,NA
10 mkM,0.607504822184383,5.960742041348978,5.960742041348978
10 mkM,0.5185577965276296,5.088007775012177,10.016499437570303
10 mkM,0.549893611111552,5.395469873368349,10.901187631266373
50 mkM,2.9347418269573637,28.795226555651464,59.974456888541106
50 mkM,3.236111915333743,31.752222599453933,70.5862402422079
50 mkM,2.7381953376186488,26.866743226303917,59.40362663000457
100 mkM,4.486572289590184,44.02154368413347,98.17159907643122
100 mkM,4.10409985918354,40.26878417946923,81.26473054504551
100 mkM,4.298284821720673,42.17409657819378,98.76313934554214
Tr 10 mkM,0.46874113669222217,4.507459694816418,9.101834287759484
Tr 10 mkM,0.4510270767985278,4.33711959715433,8.83829996803905
Tr His 1 mM,0.31205103998188244,3.002275398924907,6.602387807791055
Tr His 1 mM,0.3139939562924978,3.020968398127438,6.415333576886305
Tr His 1 mM,0.29647692455695906,2.852435220206133,6.286823734864349
Tr His 1 mM,0.40278859981840154,3.865227752095356,8.07336592219653
Tr Gln 5 mM,0.38690679784551735,3.712823285418416,7.908102427882336
Tr Gln 5 mM,0.4331545142223076,4.156624219434916,8.833371047597154
Tr 10 mkM,0.4057247307062659,3.9014878953317247,7.520820864159352
Tr 10 mkM,0.5117879211174299,4.921401699474475,10.611306503353749
Tr 10 mkM,0.5514726195342078,5.303013562851474,11.035811089651531
Tr His 1 mM,0.3287734864675393,3.163163789800453,6.261421929205833
Tr His 1 mM,0.3602416178124081,3.4659219430574413,6.881244304893543
Tr His 1 mM,0.3579341731798487,3.443721779087096,7.434575155717476
Tr His 1 mM,0.5240588897140119,5.028958032000235,10.364292110545003
Tr Gln 5 mM,0.45868566424325313,4.401625467355935,8.701885979594508
Tr Gln 5 mM,0.487802997286595,4.681040336090724,9.349272183082375
10 mkM,0.5251615948150419,5.320091287162148,11.715560210936935
10 mkM,0.485836087576269,4.9217085979293005,10.81636473762458
10 mkM,0.4429509703177086,4.487265674210653,9.606923342958025
Gln 1 mM,0.48458251133369745,4.909009382846279,10.77633808432174
Gln 1 mM,0.4403224783826869,4.46063802820617,10.007503473830475
Gln 1 mM,0.4251644971806486,4.307081780909882,9.382825527574509
Gln 5 mM,0.44072792563637386,4.4647453666388355,9.852024249181243
Gln 5 mM,0.46166488084120577,4.6768448690865725,10.016981568048916
Gln 5 mM,0.42335507735236566,4.288751654034064,9.187986212023926
10 mkM,0.9226151328339558,9.052554991240868,20.17086881089017
10 mkM,0.9942890693310934,9.755808415652037,23.783116900963297
10 mkM,0.8824282834600509,8.658247927617774,21.185872850231068
His 0.5 mM,0.719775903314987,7.062328282124166,16.601598591716822
His 0.5 mM,0.7502129574527733,7.360971883933886,18.40752405949256
His 0.5 mM,0.7344453727251773,7.20626281538959,16.396028107246085
His 1 mM,0.6291692216833699,6.173309731642961,15.185022127708486
His 1 mM,0.7752384814388247,7.60651840057564,19.468822397200352
His 1 mM,0.6833443279483112,6.704867378126916,16.31302842463841
10 mkM,0.4108462709849948,4.031159178598974,9.0576916047054
10 mkM,0.43737156910309294,4.291421243817404,9.43361695533138
10 mkM,0.4933747060791549,4.840915240951999,12.02083791773902
His 0.5 mM,0.448853080471518,4.404076032738942,10.604441752473248
His 0.5 mM,0.39732644131710354,3.898504730188987,9.11224258025439
His 0.5 mM,0.44563766371911073,4.372526867832535,10.625388061144472
His 1 mM,0.2968473166100247,2.912619316529421,6.657592563337186
His 1 mM,0.34742943119090686,3.4089230920920213,8.020712665154145
His 1 mM,0.3614209360434252,3.546205543441571,7.79058541595344
10 mkM,0.5501204878691408,5.397695952533121,10.693385552892844
10 mkM,0.6013387103679674,5.900241119226895,11.098298768991905
10 mkM,0.6162937015423409,6.046977147264604,12.493572997252894
Gln 1 mM,0.8646240025365959,8.48355511541123,17.73732283464567
Gln 1 mM,0.6496788313704424,6.3745468054061165,12.917692009810247
Gln 1 mM,0.682308837680165,6.694707310010004,13.460957723632184
Gln 5 mM,1.0260768297053853,10.06770493522544,20.59814169916457
Gln 5 mM,1.0005788152359176,9.817522416060266,20.531327771671563
Gln 5 mM,1.172094431079161,11.500406740218578,23.207964812212616
10 mkM 450 ml,1.443040842916218,14.242425426739953,32.0390777924413
10 mkM 450 ml,2.109949467396836,20.824634376155245,47.70333927237197
10 mkM 450 ml,1.3879094694315044,13.698293582250384,29.553033295587216
His 1 mM 450 ml,1.1087739615147796,10.94330111271988,27.23972671355012
His 1 mM 450 ml,1.0839669087568309,10.698462166756098,25.78466595242305
His 1 mM 450 ml,1.1715650596350893,11.563032381472016,28.240264801906935
Gln 5 mM 450 ml,1.4516438743147493,14.327335035320305,34.57939343485149
Gln 5 mM 450 ml,1.2709165179109216,12.543604582513703,28.116583888552388
Gln 5 mM 450 ml,1.2273194643175167,12.113313376497088,28.129346820971225
30 mkM,1.2585765291291062,12.348955523447689,29.23674655673517
30 mkM,1.4689520550342658,14.413127190801443,30.361481257150544
30 mkM,1.3453843347951409,13.200700098725704,28.79466344662188
His 3 mM 30 mkM,0.8407930796729879,8.249729837635675,18.137107861517308
His 3 mM 30 mkM,0.8881164297739091,8.714059127187262,19.258781771449556
His 3 mM 30 mkM,0.9010639609646108,8.84109827269164,18.873403604102204
Gln 5 mM 30 mkM,1.117896763892935,10.968627729513166,24.019857044568457
Gln 5 mM 30 mkM,1.0840484790153724,10.636513666662143,21.687298470510203
Gln 15 mM 30 mkM,1.2810622484439016,12.569581874968224,29.065139584824625
