Variant,copper_per_FW_ROOT,copper_per_DW_ROOT,copper_per_DWCW_ROOT
10 mkM,0.8619951672114576,15.571339299057936,30.819068942718044
10 mkM,0.7814809822759625,14.116906908127667,27.186757498009385
10 mkM,0.8070648545615635,14.579061652256453,28.623396153349688
Gln 1 mM,1.1285422364885878,20.386325522600792,40.791496735984936
Gln 1 mM,0.949683173391035,17.155361749087675,35.52284047827355
Gln 1 mM,1.019180390599376,18.410780329904306,36.98393417403802
Gln 5 mM,1.1142568520818514,20.128270053062188,39.43684143140645
Gln 5 mM,1.0303928707787144,18.613325935607932,35.76217207605148
Gln 5 mM,0.9923779680177389,17.926613327662835,35.75035442888842
10 mkM,0.5600584250029689,10.299676370470317,21.967362046293513
10 mkM,0.547102730953874,10.061416485602415,21.91324488654895
10 mkM,0.6794558897440699,12.495438797009053,25.790273439691774
His 0.5 mM,0.7117508268609697,13.089354334851366,27.010393961516403
His 0.5 mM,0.7802786400283851,14.34960552738845,29.399851300062313
His 0.5 mM,0.7567977521342475,13.917783532746322,28.77938551619563
His 1 mM,0.7846102543682854,14.429265476906084,29.602482026703186
His 1 mM,0.7730046083850447,14.215833462742571,26.67970191226097
His 1 mM,0.6860112573230827,12.615994370390432,26.23513589027178
10 mkM,0.9406264353516117,15.09073621171908,36.23371414510687
10 mkM,0.8981990974595159,14.41006241792361,34.81932958380203
10 mkM,0.7862469289324769,12.613982082439588,30.36272090988627
Gln 1 1,0.9233028874277114,14.812809627747486,34.98692790354331
Gln 1 2,0.9619952151834922,15.433561596473094,36.28461739822416
Gln 1 3,0.9497270984734615,15.236740726755084,35.7713834583342
Gln 5 1,0.9940818358435036,15.948336336058984,39.63826913102929
Gln 5 2,1.003878309766512,16.105503940775346,39.10213465289316
Gln 5 3,0.9766411143569048,15.668529903446933,37.548912528484095
10 mkM,0.9055217230776613,14.77959971208154,34.67883988805113
10 mkM,0.9096050955101078,14.846247047522361,36.24349142993866
10 mkM,1.0811428010954018,17.646023750242176,40.81989788385827
Gln 1 mM,1.276654783734225,20.837099975886094,49.92632100674915
Gln 1 mM,1.2377710812029552,20.202454175471065,48.780214484908136
Gln 1 mM,1.164455228206405,19.005819205571072,43.51121320411871
Gln 5 mM,1.06198281795517,17.333301400147242,42.25508174198166
Gln 5 mM,1.1057719759602072,18.048012279576955,41.68503193096502
Gln 5 mM,1.149844267223187,18.767344358157295,42.58518189677328
Pretr His 0.5 mM,1.3347694475643124,21.785626606359003,46.756840714678106
Pretr His 0.5 mM,1.3023761719363791,21.256915218280106,41.33994042533539
Pretr His 0.5 mM,1.1789875592264785,19.243010683021396,45.436659258318514
Pretr His 1 mM,1.2273393807470263,20.0321917144768,56.30113796781378
Pretr His 1 mM,1.0548285310920262,17.21653170443714,51.0582705591404
Pretr His 1 mM,1.1959703478267822,19.520197647299078,45.58576009652019
10 mkM,0.8360117052126068,14.518139271428304,32.98406286812574
10 mkM,0.9502903106576883,16.502696065611424,37.33158816730478
10 mkM,0.9103964875421742,15.809901842217785,35.315154143867616
Pretr Gln 1 mM,1.0482171210641864,18.196222492676885,41.80357505715012
Pretr Gln 1 mM,1.0106666594842184,17.544376095703203,39.29005037934089
Pretr Gln 1 mM,0.9643124286508797,16.739703208025116,33.952885249618674
Pretr Gln 5 mM,1.059394077337123,18.29628036324542,41.46577074500304
Pretr Gln 5 mM,1.0673812059162582,18.43422218008894,39.706580860084806
Pretr Gln 5 mM,0.8414458975207153,14.532203247953918,38.799725352444725
Tr 10 mkM,0.9545620369441578,15.963852331175183,41.914222440944876
Tr 10 mkM,0.8697367410496076,14.545255691878856,41.30182358340177
Tr 10 mkM,0.8873793472428466,14.840306143400658,40.23494860672356
Tr His 1 mM,0.9866993090453431,16.759810205635247,38.7562047487872
Tr His 1 mM,0.8117974835791245,13.788974640472956,43.9211431383577
Tr His 1 mM,0.9015037802638654,15.312701770819586,36.77926983296163
