Variant,copper_per_FW_SHOOT,copper_per_DW_SHOOT,copper_per_DWCW_SHOOT
Tr Gln 5 mM,0.5924053903195177,5.684822649365539,11.715978172765166
Tr Gln 5 mM,0.5171800804701622,4.962947811247498,9.81160398503791
Tr Gln 5 mM,0.5350765971105383,5.134685821745823,10.255321867661277
10 mkM,0.6101163272187236,6.180715780891927,13.610771689662648
10 mkM,0.581607895285731,5.8919142732516265,12.948571113925446
10 mkM,0.5491714353418818,5.563320313530653,11.91068139592868
Gln 1 mM,0.6186976313711663,6.267647730799609,13.758843317053724
Gln 1 mM,0.6093258062714363,6.1727074961172885,13.848555143842315
Gln 1 mM,0.5740293510869839,5.815140671832186,12.668078554704705
Gln 5 mM,0.5812657807619654,5.888448520014781,12.99360497526305
Gln 5 mM,0.6091087543130143,6.170508675327149,13.216147508931588
Gln 5 mM,0.5728547326427724,5.803241329967725,12.432545790949954
10 mkM,1.079041859437312,10.587389500541654,23.59078126251168
10 mkM,1.0210154240168396,10.018043216380876,24.422403842189887
10 mkM,0.92642903874237,9.089976437886003,22.24226964099367
His 0.5 mM,0.7586390881014127,7.443647756402928,17.497976187644216
His 0.5 mM,0.8160144742213279,8.006606046929566,20.022056294687292
His 0.5 mM,0.7804592813098021,7.65774407014071,17.42325949367088
His 1 mM,0.6972612701538723,6.841418232478051,16.82842620265532
His 1 mM,0.8752788931646349,8.588099231265591,21.98117060367453
His 1 mM,0.7509396886886461,7.368102456848275,17.92668788741832
10 mkM,0.36630081101301015,3.594086111340838,8.07562345096835
10 mkM,0.3832104935783696,3.760001264756052,8.265422960836549
10 mkM,0.4422456730610649,4.339245187455782,10.775103567704097
His 0.5 mM,0.5348217108850106,5.247586752045411,12.635505754088427
His 0.5 mM,0.5012038607065527,4.917733678323328,11.494556329497271
His 0.5 mM,0.5694971884307789,5.5878170996296825,13.578584395913673
His 1 mM,0.3935236322424243,3.861192163936165,8.825816710873125
His 1 mM,0.4293491209321022,4.21270624051023,9.911900440411051
His 1 mM,0.4484792361597229,4.40040793098096,9.66716492639507
10 mkM,0.4669361963086456,4.581504729389246,9.076427593289967
10 mkM,0.4889188325905985,4.7971949090891695,9.023479088111344
10 mkM,0.5201234231207676,5.103369457609554,10.543998645577464
Gln 1 mM,0.7136640317964493,7.002359557298449,14.64045560880977
Gln 1 mM,0.6330286578304786,6.211177913849736,12.586633333871177
Gln 1 mM,0.6871175565242303,6.7418897051649624,13.555826729410969
Gln 5 mM,0.636282009455748,6.243099289779405,12.77314389329094
Gln 5 mM,0.6515808950403448,6.3932095558378625,13.370082118596732
Gln 5 mM,0.6318440969237545,6.199555188005586,12.510780001496643
10 mkM 450 ml,1.3671049209207553,13.492958277878442,30.353112406224813
10 mkM 450 ml,1.9577340202526987,19.322308807623767,44.261936892924886
10 mkM 450 ml,1.240076874716577,12.239225589681396,26.40520435572644
His 1 mM 450 ml,1.2956847355823136,12.788060236606748,31.831644076456072
His 1 mM 450 ml,1.3009407321474715,12.83993551060882,30.94589136562684
His 1 mM 450 ml,1.352412152538726,13.347944601362872,32.59953597532731
Gln 5 mM 450 ml,1.6519917905789443,16.304715142614477,39.35185143431959
Gln 5 mM 450 ml,1.4262476317720365,14.076680944474877,31.552986069049048
Gln 5 mM 450 ml,1.3946925991750636,13.765241250437867,31.96542788690558
30 mkM,1.7462257331700295,17.133693036321077,40.56484290778002
30 mkM,1.867007320482128,18.318783029061212,38.588807288512015
30 mkM,1.7882380493974304,17.545911294425885,38.2728648335891
30 mkM His 3 mM,1.736768810355659,17.040903192779226,37.46458433767208
30 mkM His 3 mM,1.613656578374038,15.832945280052682,34.992101097466445
30 mkM His 3 mM,1.6984731783832083,16.665152457702867,35.575687404090466
30 mkM Gln 15 mM,1.9814709577569396,19.4418822868686,42.57517391636725
30 mkM Gln 15 mM,1.5268959662862005,14.981663760762649,30.54683364746212
30 mkM Gln 15 mM,2.0633521582555474,20.24528778487474,46.81397688925249
