Variant;desorbtion_per_FW_shoot;desorbtion_per_DW_shoot;desorbtion_per_DWCW_shoot;treatment
Gln 5 mM;0,644996599318510;6,59249218674718;15,87061874063325;Gln 5 mM
Gln 5 mM;0,559077425029753;5,71431471141030;14,14055014776696;Gln 5 mM
Gln 5 mM;0,567374350725402;5,79911735669616;14,80254276220900;Gln 5 mM
Gln 5 mM 450 ml;1,451643874314749;14,32733503532030;34,57939343485149;NA
Gln 5 mM 450 ml;1,270916517910922;12,54360458251370;28,11658388855239;NA
Gln 5 mM 450 ml;1,227319464317517;12,11331337649709;28,12934682097123;NA
His 0.5 mM;0,719775903314987;7,06232828212417;16,60159859171682;His 0.5 mM
His 0.5 mM;0,750212957452773;7,36097188393389;18,40752405949256;His 0.5 mM
His 0.5 mM;0,734445372725177;7,20626281538959;16,39602810724609;His 0.5 mM
His 0.5 mM;0,448853080471518;4,40407603273894;10,60444175247325;His 0.5 mM
His 0.5 mM;0,397326441317104;3,89850473018899;9,11224258025439;His 0.5 mM
His 0.5 mM;0,445637663719111;4,37252686783254;10,62538806114447;His 0.5 mM
His 0.5 mM;0,307773163656633;3,14574089048006;7,65760388900804;His 0.5 mM
His 0.5 mM;0,462129034917756;4,72340792987634;10,15726647517737;His 0.5 mM
His 0.5 mM;0,483002186460005;4,93675182750379;12,37471316085489;His 0.5 mM
His 1 mM;0,629169221683370;6,17330973164296;15,18502212770849;His 1 mM
His 1 mM;0,775238481438825;7,60651840057564;19,46882239720035;His 1 mM
His 1 mM;0,683344327948311;6,70486737812692;16,31302842463841;His 1 mM
His 1 mM;0,296847316610025;2,91261931652942;6,65759256333719;His 1 mM
His 1 mM;0,347429431190907;3,40892309209202;8,02071266515414;His 1 mM
His 1 mM;0,361420936043425;3,54620554344157;7,79058541595344;His 1 mM
His 1 mM;0,515144122537501;5,26527365642771;13,76685568624909;His 1 mM
His 1 mM;0,501029678982435;5,12101032394600;13,34305139019990;His 1 mM
His 1 mM;0,526273864311717;5,37903043555578;14,32741256180187;His 1 mM
His 1 mM 450 ml;1,108773961514780;10,94330111271988;27,23972671355012;NA
His 1 mM 450 ml;1,083966908756831;10,69846216675610;25,78466595242305;NA
His 1 mM 450 ml;1,171565059635089;11,56303238147202;28,24026480190694;NA
His 3 mM 30 mkM;0,840793079672988;8,24972983763567;18,13710786151731;NA
His 3 mM 30 mkM;0,888116429773909;8,71405912718726;19,25878177144956;NA
His 3 mM 30 mkM;0,901063960964611;8,84109827269164;18,87340360410220;NA
Tr 10 mkM;0,468741136692222;4,50745969481642;9,10183428775948;Tr 10 mkM
Tr 10 mkM;0,451027076798528;4,33711959715433;8,83829996803905;Tr 10 mkM
Tr 10 mkM;0,405724730706266;3,90148789533172;7,52082086415935;Tr 10 mkM
Tr 10 mkM;0,511787921117430;4,92140169947448;10,61130650335375;Tr 10 mkM
Tr 10 mkM;0,551472619534208;5,30301356285147;11,03581108965153;Tr 10 mkM
Tr Gln 5 mM;0,386906797845517;3,71282328541842;7,90810242788234;Tr Gln 5 mM
Tr Gln 5 mM;0,433154514222308;4,15662421943492;8,83337104759715;Tr Gln 5 mM
Tr Gln 5 mM;0,458685664243253;4,40162546735594;8,70188597959451;Tr Gln 5 mM
Tr Gln 5 mM;0,487802997286595;4,68104033609072;9,34927218308238;Tr Gln 5 mM
Tr His 1 mM;0,312051039981882;3,00227539892491;6,60238780779105;Tr His 1 mM
Tr His 1 mM;0,313993956292498;3,02096839812744;6,41533357688631;Tr His 1 mM
Tr His 1 mM;0,296476924556959;2,85243522020613;6,28682373486435;Tr His 1 mM
Tr His 1 mM;0,402788599818402;3,86522775209536;8,07336592219653;Tr His 1 mM
Tr His 1 mM;0,328773486467539;3,16316378980045;6,26142192920583;Tr His 1 mM
Tr His 1 mM;0,360241617812408;3,46592194305744;6,88124430489354;Tr His 1 mM
Tr His 1 mM;0,357934173179849;3,44372177908710;7,43457515571748;Tr His 1 mM
Tr His 1 mM;0,524058889714012;5,02895803200023;10,36429211054500;Tr His 1 mM
