Variant;CW.share.root;CW.share.shoot;treatment
Gln 5 mM;0,495997671105019;0,5058243095436471;Gln 5 mM
Gln 5 mM;0,505670671435606;0,5006849992624158;Gln 5 mM
Gln 5 mM;0,451093919462806;0,4787628591772958;Gln 5 mM
Gln 5 mM;0,423402124054381;0,4694961046948213;Gln 5 mM
Gln 5 mM;0,444588971255823;0,4705592233177613;Gln 5 mM
His 1 mM;0,502184458561160;0,5051829800905387;His 1 mM
His 1 mM;0,518466345011649;0,5036766301979249;His 1 mM
His 1 mM;0,514765444736630;0,4632035734333442;His 1 mM
His 1 mM;0,418501577864390;0,4547256971761208;His 1 mM
His 1 mM;0,442438545753754;0,4708981009205247;His 1 mM
His 1 mM;0,425723498511635;0,4537164298702388;His 1 mM
Pretrit Gln 1 mM;0,435279099163185;NA;Pretrit Gln 1 mM
Pretrit Gln 1 mM;0,446534833280036;NA;Pretrit Gln 1 mM
Pretrit Gln 1 mM;0,493027413869433;NA;Pretrit Gln 1 mM
Pretrit Gln 5 mM;0,441238159439018;NA;Pretrit Gln 5 mM
Pretrit Gln 5 mM;0,464261132053806;NA;Pretrit Gln 5 mM
Pretrit Gln 5 mM;0,374543972050005;NA;Pretrit Gln 5 mM
Pretrit His 0.5 mM;0,465934530078718;NA;NA
Pretrit His 0.5 mM;0,514198012855691;NA;NA
Pretrit His 0.5 mM;0,423512885787227;NA;NA
Pretrit His 5 mM;0,355804384023797;NA;NA
Pretrit His 5 mM;0,337193788898419;NA;NA
Pretrit His 5 mM;0,428208230069397;NA;NA
