Variant;mkM_Cu_per_FW;mkM_Cu_per_DW
His 1 mM;0,810288792660183;14,21230960126544
His 1 mM;0,798704726203892;14,00912730328753
His 1 mM;0,835583441079759;14,65597287027592
His 1 mM;0,823952339491217;14,63877982939540
His 1 mM;0,740636248136517;13,15854139917215
His 1 mM;0,777038322069288;13,80528019715196
Pretr Gln 1 mM;1,048217121064186;18,19622249267688
Pretr Gln 1 mM;1,010666659484218;17,54437609570320
Pretr Gln 1 mM;0,964312428650880;16,73970320802512
Pretr Gln 5 mM;1,059394077337123;18,29628036324542
Pretr Gln 5 mM;1,067381205916258;18,43422218008894
Pretr Gln 5 mM;0,841445897520715;14,53220324795392
Pretr His 0.5 mM;1,334769447564312;21,78562660635900
Pretr His 0.5 mM;1,302376171936379;21,25691521828010
Pretr His 0.5 mM;1,178987559226478;19,24301068302140
Pretr His 1 mM;1,227339380747026;20,03219171447680
Pretr His 1 mM;1,054828531092026;17,21653170443714
Pretr His 1 mM;1,195970347826782;19,52019764729908
Tr 10 mkM;0,954562036944158;15,96385233117518
Tr 10 mkM;0,869736741049608;14,54525569187886
Tr 10 mkM;0,887379347242847;14,84030614340066
Tr 10 mkM;0,947737011658659;15,48789942702412
Tr 10 mkM;1,075820859588101;17,58104312675747
Tr 10 mkM;1,035273050546101;16,91841163647771
Tr 10 mkM;1,164555880876902;19,03114908280806
Tr 10 mkM;1,121736882735680;18,33140186536368
Tr 10 mkM;1,025526464182224;16,75913311563958
Tr Gln 5 mM;1,039896012950525;17,49532325700640
Tr Gln 5 mM;0,968968036365447;16,30202328963711
Tr Gln 5 mM;0,877321338440960;14,76014930833701
Tr Gln 5 mM;0,813835158901202;13,40292569747939
Tr Gln 5 mM;0,875741815302367;14,42245687261867
Tr Gln 5 mM;0,981047854459766;16,15672578799471
Tr Gln 5 mM;0,999465433220657;16,46004205168745
Tr Gln 5 mM;0,577225934998914;9,50624488611915
Tr Gln 5 mM;0,922571928199068;15,19369477834700
Tr His 1 mM;0,986699309045343;16,75981020563525
Tr His 1 mM;0,811797483579125;13,78897464047296
Tr His 1 mM;0,901503780263865;15,31270177081959
Tr His 1 mM;0,735281931425844;12,48930196576272
Tr His 1 mM;0,852369159997153;14,47811427225530
Tr His 1 mM;0,753244806130492;12,79441454472200
Tr His 1 mM;0,868387763530699;14,75020198181227
Tr His 1 mM;0,924113145897548;15,69673840245784
Tr His 1 mM;0,893794167421968;15,18174835402744
